餐廳名稱,類型,地區或地址,推薦重點,推薦人,Threads留言URL,來源貼文URL,原留言摘錄
Gan Xin Coffee（@ganxincoffee_）,咖啡廳,,咖啡好喝、環境好；推薦者每週去3–4次,wj_9111,https://www.threads.com/@wj_9111/post/DbAdr5mGQ7p,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,wj_9111 1天 大推這家咖啡廳➡️ @ganxincoffee_ 咖啡好喝環境也很棒♥️ 我大概一個禮拜會去三四次以上
GonnaEat 仁愛店,沙拉／健康餐,仁愛店,推薦農夫沙拉＋雞胸,pieceofcake.diary,https://www.threads.com/@pieceofcake.diary/post/DbAEmP1j-LE,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,pieceofcake.diary 1天 喜歡沙拉的人務必試 GonnaEat 農夫沙拉+雞胸 我已經吃了5678次 個人推薦仁愛店 目前還沒有吃過比他好吃的！ 只要你喜歡清爽醬汁（巴薩米克油醋）不是只喜歡厚重的凱撒胡麻的話 應該都會喜歡
Häagen-Dazs,冰淇淋,,,dr.entlyt,https://www.threads.com/@dr.entlyt/post/DbByIyhk7Bg,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,dr.entlyt 11小時 Haagen Dazs
JK本味食堂,健康餐盒,台北市松山區民生東路五段192之6號,建議先預訂,emilyliu_0622,https://www.threads.com/@emilyliu_0622/post/DbAL0s7EvUg,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,emilyliu_0622 1天 民生社區圓環巷子裡的「JK本味食堂」 超好吃的健康餐盒 使用初榨橄欖油 健康美味 生意很好，先預訂比較吃的到想吃的 台北市松山區民生東路五段192之6號 IG instagram.com/jeffs…
Katsuya 吉豚屋,炸豬排,松江旗艦店／台北車站店,推薦里肌豬排定食＋單點腰內肉豬排,seaturtlewantstoplaypoker,https://www.threads.com/@seaturtlewantstoplaypoker/post/DbAD0L2mJDN,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,seaturtlewantstoplaypoker 1天 Katsuya 吉豚屋 IG｜ @katsuya_taiwan 📍松江旗艦店 捷運行天宮，步行2分鐘 📍北車店 捷運台北車站，步行2分鐘 🕰️營業時間依分店不定 其實還有其他分店但是經調查這兩間最好吃，推薦里肌豬排定食+單點腰內肉豬排，要加黃芥末吃🐖😋
La Vie,,忠泰內,,corbin_lai1015,https://www.threads.com/@corbin_lai1015/post/DbAcZiYGDgv,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,corbin_lai1015 1天 忠泰裡面的la vie 壽司的話 鮨一田、鮨岡心
NCIS Sushi 德相美式加州壽司,美式加州壽司,,,xiaohuu_,https://www.threads.com/@xiaohuu_/post/Da_4y66GCtj,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,xiaohuu_ 1天 NCIS Sushi 德相美式加州壽司
Sunami 蔬納米,蔬食／純素,台北市大安區市民大道四段10號,忠孝復興站步行約5分鐘；11:30–15:00、17:00–22:00,joyce_vege,https://www.threads.com/@joyce_vege/post/Da-bVGsE-S6,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,Sunami 蔬納米；台北市大安區市民大道四段10號；02 2711 9135；11:30–15:00、17:00–22:00
Wok by Obond,大中華料理 Fine Dining,,,atm_tseng,https://www.threads.com/@atm_tseng/post/DbARPAmFGvF,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,atm_tseng 1天 漢來湯包 FOCOSO（非常適合約會的義大利餐廳） 三味麵食（一定要吃雙醬麵） 心潮仙宮（外國朋友來都帶去吃） Wok by Obond (大中華料理Fine Dining)
YAYOI軒,日式定食,,狂熱愛好者推薦,jessie_yijie,https://www.threads.com/@jessie_yijie/post/DbAhMTulKIE,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,jessie_yijie 23小時 YAYOI軒，我是狂熱愛好者哈哈哈哈
